item_id,driver,method,mass,temp_effect,elasticity,abs_temp_effect,abs_elasticity
20,temperature,SHAP_XGBoost,0.37150907558594537,-0.005,-1.25,0.005,1.25
21,temperature,SHAP_XGBoost,0.21153212930196158,-0.018,-1.4,0.018,1.4
22,temperature,SHAP_XGBoost,0.19387939315523736,0.0,-1.15,0.0,1.15
23,temperature,SHAP_XGBoost,0.22217267246542177,0.004,-1.1,0.004,1.1
24,temperature,SHAP_XGBoost,0.22427494073892162,0.0,-0.9,0.0,0.9
25,temperature,SHAP_XGBoost,0.16501690243271158,0.0,-1.05,0.0,1.05
26,temperature,SHAP_XGBoost,0.17363810509228148,0.0,-0.75,0.0,0.75
27,temperature,SHAP_XGBoost,0.1866105794807425,0.0,-0.8,0.0,0.8
28,temperature,SHAP_XGBoost,0.2696994756801023,0.06,-1.1,0.06,1.1
29,temperature,SHAP_XGBoost,0.35967655832384865,0.045,-0.95,0.045,0.95
30,temperature,SHAP_XGBoost,0.15069046674141343,-0.045,-0.7,0.045,0.7
1,price,SHAP_LightGBM,1.1072655364555337,0.0,-0.55,0.0,0.55
2,price,SHAP_LightGBM,1.3170862237755725,-0.004,-0.7,0.004,0.7
3,price,SHAP_LightGBM,1.4379300418840497,0.0,-0.45,0.0,0.45
4,price,SHAP_LightGBM,0.7209311211596687,-0.008,-0.6,0.008,0.6
5,price,SHAP_LightGBM,1.1437107472053099,-0.006,-0.8,0.006,0.8
6,price,SHAP_LightGBM,0.8884449730937806,0.0,-0.5,0.0,0.5
7,price,SHAP_LightGBM,1.0964366104927687,0.002,-0.4,0.002,0.4
8,price,SHAP_LightGBM,1.26747978120308,0.0,-0.95,0.0,0.95
9,price,SHAP_LightGBM,1.8637524689617455,0.01,-0.9,0.01,0.9
10,price,SHAP_LightGBM,2.0108866999825974,0.045,-1.35,0.045,1.35
11,price,SHAP_LightGBM,1.0449011614092218,-0.006,-0.75,0.006,0.75
12,price,SHAP_LightGBM,1.0521221609515428,-0.025,-1.0,0.025,1.0
13,price,SHAP_LightGBM,1.7639113637139385,0.035,-1.45,0.035,1.45
14,price,SHAP_LightGBM,1.714573185433173,0.02,-1.15,0.02,1.15
15,price,SHAP_LightGBM,1.4299300372781274,0.042,-1.1,0.042,1.1
16,price,SHAP_LightGBM,2.015896995114732,-0.024,-1.2,0.024,1.2
17,price,SHAP_LightGBM,1.1711073647409023,-0.02,-0.85,0.02,0.85
18,price,SHAP_LightGBM,1.0170556214043904,0.05,-1.3,0.05,1.3
19,price,SHAP_LightGBM,1.1471390933922703,0.015,-1.5,0.015,1.5
20,price,SHAP_LightGBM,2.0899764254144335,-0.005,-1.25,0.005,1.25
21,price,SHAP_LightGBM,2.2661630923048133,-0.018,-1.4,0.018,1.4
22,price,SHAP_LightGBM,2.328672833940133,0.0,-1.15,0.0,1.15
23,price,SHAP_LightGBM,2.236819938682396,0.004,-1.1,0.004,1.1
24,price,SHAP_LightGBM,1.205315348402188,0.0,-0.9,0.0,0.9
25,price,SHAP_LightGBM,2.036743528668374,0.0,-1.05,0.0,1.05
26,price,SHAP_LightGBM,1.0150190450088605,0.0,-0.75,0.0,0.75
27,price,SHAP_LightGBM,1.31153209966371,0.0,-0.8,0.0,0.8
28,price,SHAP_LightGBM,1.2502859887360893,0.06,-1.1,0.06,1.1
29,price,SHAP_LightGBM,1.0668014464358941,0.045,-0.95,0.045,0.95
30,price,SHAP_LightGBM,0.8400211451014001,-0.045,-0.7,0.045,0.7
1,price,SHAP_XGBoost,1.1442656681100114,0.0,-0.55,0.0,0.55
2,price,SHAP_XGBoost,1.1397462166293173,-0.004,-0.7,0.004,0.7
3,price,SHAP_XGBoost,1.215473015719693,0.0,-0.45,0.0,0.45
4,price,SHAP_XGBoost,0.6886117455500098,-0.008,-0.6,0.008,0.6
5,price,SHAP_XGBoost,1.164014515377291,-0.006,-0.8,0.006,0.8
6,price,SHAP_XGBoost,0.877962284675976,0.0,-0.5,0.0,0.5
7,price,SHAP_XGBoost,1.3221176127433727,0.002,-0.4,0.002,0.4
8,price,SHAP_XGBoost,1.4072504905096086,0.0,-0.95,0.0,0.95
9,price,SHAP_XGBoost,1.861821962396201,0.01,-0.9,0.01,0.9
10,price,SHAP_XGBoost,2.200018868872027,0.045,-1.35,0.045,1.35
11,price,SHAP_XGBoost,1.0416084987038532,-0.006,-0.75,0.006,0.75
12,price,SHAP_XGBoost,1.084183613865279,-0.025,-1.0,0.025,1.0
13,price,SHAP_XGBoost,1.5660002691923756,0.035,-1.45,0.035,1.45
14,price,SHAP_XGBoost,1.6345783599460715,0.02,-1.15,0.02,1.15
15,price,SHAP_XGBoost,1.292439711895943,0.042,-1.1,0.042,1.1
16,price,SHAP_XGBoost,2.3768018770151276,-0.024,-1.2,0.024,1.2
17,price,SHAP_XGBoost,1.1944197820677112,-0.02,-0.85,0.02,0.85
18,price,SHAP_XGBoost,0.9397767219131126,0.05,-1.3,0.05,1.3
19,price,SHAP_XGBoost,0.979664836425358,0.015,-1.5,0.015,1.5
20,price,SHAP_XGBoost,2.18056421578683,-0.005,-1.25,0.005,1.25
21,price,SHAP_XGBoost,2.450870472706505,-0.018,-1.4,0.018,1.4
22,price,SHAP_XGBoost,2.4504518802379884,0.0,-1.15,0.0,1.15
23,price,SHAP_XGBoost,2.337401495439478,0.004,-1.1,0.004,1.1
24,price,SHAP_XGBoost,1.2819038328597285,0.0,-0.9,0.0,0.9
25,price,SHAP_XGBoost,2.1752785075576164,0.0,-1.05,0.0,1.05
26,price,SHAP_XGBoost,1.010250962871188,0.0,-0.75,0.0,0.75
27,price,SHAP_XGBoost,1.328471340677368,0.0,-0.8,0.0,0.8
28,price,SHAP_XGBoost,1.3950215199638434,0.06,-1.1,0.06,1.1
29,price,SHAP_XGBoost,1.1419677149422307,0.045,-0.95,0.045,0.95
30,price,SHAP_XGBoost,0.834168555143777,-0.045,-0.7,0.045,0.7
