promo_id,store_id,store_name,province,item_id,item_name,category,start_date,end_date,duration_days,discount_pct,promo_type
96,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2023-07-12,2023-07-24,13,10.0,In-Store Display
97,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2024-03-28,2024-04-05,9,10.0,In-Store Display
98,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2023-05-29,2023-06-09,12,30.0,Catalogue
99,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2023-04-19,2023-04-29,11,20.0,Catalogue
100,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2024-05-10,2024-05-15,6,10.0,In-Store Display
101,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2023-12-26,2024-01-08,14,15.0,In-Store Display
102,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2025-07-10,2025-07-18,9,20.0,Catalogue
103,1,Sydney CBD,New South Wales,8,Tasty Cheese Block 500g,Dairy & Frozen,2024-10-19,2024-10-31,13,10.0,In-Store Display
104,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2023-02-17,2023-02-24,8,10.0,In-Store Display
105,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2025-12-16,2025-12-21,6,25.0,Catalogue
106,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2023-09-11,2023-09-23,13,15.0,In-Store Display
107,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2024-12-23,2025-01-04,13,20.0,Catalogue
108,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2024-03-02,2024-03-12,11,15.0,In-Store Display
109,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2024-01-08,2024-01-15,8,15.0,In-Store Display
110,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2024-11-23,2024-11-27,5,15.0,In-Store Display
111,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2025-08-25,2025-09-03,10,25.0,Catalogue
112,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2024-09-22,2024-10-03,12,15.0,In-Store Display
113,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2024-06-12,2024-06-19,8,15.0,In-Store Display
114,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2024-04-27,2024-05-09,13,50.0,Clearance
115,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2023-08-04,2023-08-16,13,25.0,Catalogue
116,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2025-02-17,2025-02-26,10,10.0,In-Store Display
117,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2023-12-13,2023-12-20,8,10.0,In-Store Display
118,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2025-06-19,2025-06-30,12,30.0,Catalogue
119,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2023-03-19,2023-03-25,7,15.0,In-Store Display
120,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2025-09-21,2025-09-27,7,30.0,Catalogue
121,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2023-04-30,2023-05-08,9,10.0,In-Store Display
122,1,Sydney CBD,New South Wales,9,Greek Yoghurt 1kg,Dairy & Frozen,2024-08-15,2024-08-27,13,15.0,In-Store Display
123,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2025-07-06,2025-07-19,14,20.0,Catalogue
124,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2024-01-08,2024-01-20,13,10.0,In-Store Display
125,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2025-08-23,2025-09-01,10,10.0,In-Store Display
126,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2023-01-22,2023-01-29,8,30.0,Catalogue
127,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2025-03-21,2025-03-25,5,10.0,In-Store Display
128,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2025-02-18,2025-02-24,7,15.0,In-Store Display
129,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2024-04-05,2024-04-11,7,10.0,In-Store Display
130,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2025-04-11,2025-04-23,13,10.0,In-Store Display
131,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2024-06-15,2024-06-24,10,10.0,In-Store Display
132,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2025-11-29,2025-12-08,10,10.0,In-Store Display
133,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2023-08-07,2023-08-17,11,25.0,Catalogue
134,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2024-10-02,2024-10-12,11,10.0,In-Store Display
135,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2024-12-25,2025-01-06,13,20.0,Catalogue
136,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2023-04-16,2023-04-25,10,25.0,Catalogue
137,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2023-03-03,2023-03-11,9,20.0,Catalogue
138,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2023-05-18,2023-05-24,7,10.0,In-Store Display
139,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2024-07-15,2024-07-19,5,20.0,Catalogue
140,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2024-11-21,2024-11-28,8,30.0,Catalogue
141,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2023-06-27,2023-07-05,9,50.0,Clearance
142,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2025-10-11,2025-10-21,11,10.0,In-Store Display
143,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2023-10-03,2023-10-15,13,15.0,In-Store Display
144,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2024-08-09,2024-08-14,6,20.0,Catalogue
145,1,Sydney CBD,New South Wales,10,Vanilla Ice Cream 2L,Dairy & Frozen,2025-05-16,2025-05-27,12,20.0,Catalogue
146,1,Sydney CBD,New South Wales,11,Frozen Mixed Vegetables 1kg,Dairy & Frozen,2025-04-30,2025-05-04,5,10.0,In-Store Display
147,1,Sydney CBD,New South Wales,11,Frozen Mixed Vegetables 1kg,Dairy & Frozen,2023-05-21,2023-06-01,12,50.0,Clearance
148,1,Sydney CBD,New South Wales,11,Frozen Mixed Vegetables 1kg,Dairy & Frozen,2024-08-02,2024-08-08,7,15.0,In-Store Display
149,1,Sydney CBD,New South Wales,11,Frozen Mixed Vegetables 1kg,Dairy & Frozen,2023-03-17,2023-03-30,14,10.0,In-Store Display
150,1,Sydney CBD,New South Wales,11,Frozen Mixed Vegetables 1kg,Dairy & Frozen,2024-02-29,2024-03-08,9,30.0,Catalogue
151,1,Sydney CBD,New South Wales,11,Frozen Mixed Vegetables 1kg,Dairy & Frozen,2023-12-05,2023-12-09,5,20.0,Catalogue
152,1,Sydney CBD,New South Wales,11,Frozen Mixed Vegetables 1kg,Dairy & Frozen,2025-08-25,2025-09-03,10,25.0,Catalogue
153,1,Sydney CBD,New South Wales,11,Frozen Mixed Vegetables 1kg,Dairy & Frozen,2023-10-19,2023-10-31,13,30.0,Catalogue
154,1,Sydney CBD,New South Wales,11,Frozen Mixed Vegetables 1kg,Dairy & Frozen,2024-05-06,2024-05-14,9,25.0,Catalogue
155,1,Sydney CBD,New South Wales,11,Frozen Mixed Vegetables 1kg,Dairy & Frozen,2025-07-19,2025-07-29,11,15.0,In-Store Display
156,1,Sydney CBD,New South Wales,11,Frozen Mixed Vegetables 1kg,Dairy & Frozen,2025-10-18,2025-10-23,6,15.0,In-Store Display
157,1,Sydney CBD,New South Wales,11,Frozen Mixed Vegetables 1kg,Dairy & Frozen,2023-08-28,2023-09-02,6,25.0,Catalogue
158,1,Sydney CBD,New South Wales,11,Frozen Mixed Vegetables 1kg,Dairy & Frozen,2025-01-24,2025-01-29,6,15.0,In-Store Display
159,1,Sydney CBD,New South Wales,11,Frozen Mixed Vegetables 1kg,Dairy & Frozen,2025-03-26,2025-04-03,9,20.0,Catalogue
160,1,Sydney CBD,New South Wales,11,Frozen Mixed Vegetables 1kg,Dairy & Frozen,2024-10-01,2024-10-08,8,15.0,In-Store Display
161,1,Sydney CBD,New South Wales,11,Frozen Mixed Vegetables 1kg,Dairy & Frozen,2025-01-03,2025-01-09,7,25.0,Catalogue
162,1,Sydney CBD,New South Wales,11,Frozen Mixed Vegetables 1kg,Dairy & Frozen,2025-11-07,2025-11-20,14,20.0,Catalogue
163,1,Sydney CBD,New South Wales,11,Frozen Mixed Vegetables 1kg,Dairy & Frozen,2023-01-13,2023-01-21,9,25.0,Catalogue
164,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2023-07-08,2023-07-15,8,10.0,In-Store Display
165,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2023-02-04,2023-02-15,12,20.0,Catalogue
166,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2023-10-04,2023-10-14,11,30.0,Catalogue
167,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2025-11-23,2025-11-30,8,10.0,In-Store Display
168,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2023-05-03,2023-05-11,9,50.0,Clearance
169,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2025-07-30,2025-08-08,10,10.0,In-Store Display
170,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2025-06-23,2025-07-05,13,20.0,Catalogue
171,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2025-10-03,2025-10-08,6,15.0,In-Store Display
172,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2024-09-11,2024-09-20,10,50.0,Clearance
173,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2023-01-13,2023-01-17,5,30.0,Catalogue
174,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2025-09-02,2025-09-15,14,15.0,In-Store Display
175,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2024-07-21,2024-08-03,14,10.0,In-Store Display
176,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2024-02-12,2024-02-19,8,10.0,In-Store Display
177,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2025-04-16,2025-04-27,12,30.0,Catalogue
178,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2023-08-19,2023-08-31,13,20.0,Catalogue
179,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2025-02-26,2025-03-02,5,25.0,Catalogue
180,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2023-03-16,2023-03-20,5,25.0,Catalogue
181,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2025-10-26,2025-11-02,8,10.0,In-Store Display
182,1,Sydney CBD,New South Wales,12,Frozen Meat Pies 4pk,Dairy & Frozen,2024-05-04,2024-05-13,10,15.0,In-Store Display
183,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2023-11-28,2023-12-02,5,15.0,In-Store Display
184,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2023-07-27,2023-08-07,12,10.0,In-Store Display
185,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2024-10-29,2024-11-08,11,20.0,Catalogue
186,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2024-05-08,2024-05-13,6,20.0,Catalogue
187,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2023-05-01,2023-05-13,13,15.0,In-Store Display
188,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2025-01-31,2025-02-08,9,15.0,In-Store Display
189,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2025-11-15,2025-11-28,14,25.0,Catalogue
190,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2024-08-31,2024-09-08,9,20.0,Catalogue
191,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2025-04-28,2025-05-02,5,15.0,In-Store Display
192,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2024-02-16,2024-02-28,13,25.0,Catalogue
193,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2023-01-20,2023-01-28,9,30.0,Catalogue
194,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2025-05-23,2025-05-30,8,30.0,Catalogue
195,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2025-09-27,2025-10-07,11,20.0,Catalogue
196,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2023-08-30,2023-09-12,14,20.0,Catalogue
197,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2025-08-29,2025-09-08,11,10.0,In-Store Display
198,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2024-01-20,2024-01-30,11,10.0,In-Store Display
199,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2023-12-26,2023-12-30,5,10.0,In-Store Display
200,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2023-03-03,2023-03-09,7,20.0,Catalogue
201,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2023-10-29,2023-11-02,5,25.0,Catalogue
202,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2023-06-08,2023-06-13,6,30.0,Catalogue
203,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2024-12-13,2024-12-22,10,30.0,Catalogue
204,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2025-03-25,2025-04-05,12,15.0,In-Store Display
205,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2024-07-04,2024-07-14,11,10.0,In-Store Display
206,1,Sydney CBD,New South Wales,13,Cola Soft Drink 1.25L,Beverages,2025-06-21,2025-07-03,13,30.0,Catalogue
