date,city,province,temperature,humidity,season
2023-03-24,Sydney,New South Wales,18.1,63.7,Autumn
2023-03-25,Sydney,New South Wales,19.7,66.7,Autumn
2023-03-26,Sydney,New South Wales,17.1,70.6,Autumn
2023-03-27,Sydney,New South Wales,19.6,70.0,Autumn
2023-03-28,Sydney,New South Wales,18.1,71.5,Autumn
2023-03-29,Sydney,New South Wales,21.9,66.5,Autumn
2023-03-30,Sydney,New South Wales,22.6,67.1,Autumn
2023-03-31,Sydney,New South Wales,21.5,75.7,Autumn
2023-04-01,Sydney,New South Wales,18.3,72.0,Autumn
2023-04-02,Sydney,New South Wales,18.4,70.2,Autumn
2023-04-03,Sydney,New South Wales,19.8,79.2,Autumn
2023-04-04,Sydney,New South Wales,16.7,64.5,Autumn
2023-04-05,Sydney,New South Wales,18.1,88.4,Autumn
2023-04-06,Sydney,New South Wales,19.8,80.8,Autumn
2023-04-07,Sydney,New South Wales,16.6,68.7,Autumn
2023-04-08,Sydney,New South Wales,21.3,79.8,Autumn
2023-04-09,Sydney,New South Wales,20.8,71.5,Autumn
2023-04-10,Sydney,New South Wales,21.0,76.3,Autumn
2023-04-11,Sydney,New South Wales,22.0,71.8,Autumn
2023-04-12,Sydney,New South Wales,23.4,89.4,Autumn
2023-04-13,Sydney,New South Wales,20.1,67.0,Autumn
2023-04-14,Sydney,New South Wales,18.8,69.9,Autumn
2023-04-15,Sydney,New South Wales,17.9,56.7,Autumn
2023-04-16,Sydney,New South Wales,19.4,66.2,Autumn
2023-04-17,Sydney,New South Wales,15.5,62.3,Autumn
2023-04-18,Sydney,New South Wales,14.1,61.8,Autumn
2023-04-19,Sydney,New South Wales,14.7,77.1,Autumn
2023-04-20,Sydney,New South Wales,16.8,67.6,Autumn
2023-04-21,Sydney,New South Wales,20.7,66.4,Autumn
2023-04-22,Sydney,New South Wales,19.3,64.9,Autumn
2023-04-23,Sydney,New South Wales,18.8,73.4,Autumn
2023-04-24,Sydney,New South Wales,15.6,65.5,Autumn
2023-04-25,Sydney,New South Wales,21.4,63.7,Autumn
2023-04-26,Sydney,New South Wales,21.4,68.9,Autumn
2023-04-27,Sydney,New South Wales,20.7,68.7,Autumn
2023-04-28,Sydney,New South Wales,18.8,71.1,Autumn
2023-04-29,Sydney,New South Wales,19.3,75.5,Autumn
2023-04-30,Sydney,New South Wales,24.4,68.1,Autumn
2023-05-01,Sydney,New South Wales,23.2,80.9,Autumn
2023-05-02,Sydney,New South Wales,21.6,64.2,Autumn
2023-05-03,Sydney,New South Wales,20.3,62.0,Autumn
2023-05-04,Sydney,New South Wales,18.7,66.1,Autumn
2023-05-05,Sydney,New South Wales,19.5,71.9,Autumn
2023-05-06,Sydney,New South Wales,14.3,73.8,Autumn
2023-05-07,Sydney,New South Wales,16.8,58.6,Autumn
2023-05-08,Sydney,New South Wales,18.4,57.7,Autumn
2023-05-09,Sydney,New South Wales,16.3,70.5,Autumn
2023-05-10,Sydney,New South Wales,16.6,70.2,Autumn
2023-05-11,Sydney,New South Wales,19.2,76.0,Autumn
2023-05-12,Sydney,New South Wales,18.6,74.5,Autumn
2023-05-13,Sydney,New South Wales,15.5,70.7,Autumn
2023-05-14,Sydney,New South Wales,15.0,79.5,Autumn
2023-05-15,Sydney,New South Wales,14.8,75.1,Autumn
2023-05-16,Sydney,New South Wales,14.3,62.9,Autumn
2023-05-17,Sydney,New South Wales,15.9,74.1,Autumn
2023-05-18,Sydney,New South Wales,15.4,55.7,Autumn
2023-05-19,Sydney,New South Wales,13.5,78.8,Autumn
2023-05-20,Sydney,New South Wales,16.0,75.5,Autumn
2023-05-21,Sydney,New South Wales,17.3,71.6,Autumn
2023-05-22,Sydney,New South Wales,17.3,78.7,Autumn
2023-05-23,Sydney,New South Wales,14.9,78.8,Autumn
2023-05-24,Sydney,New South Wales,16.5,64.5,Autumn
2023-05-25,Sydney,New South Wales,16.8,74.1,Autumn
2023-05-26,Sydney,New South Wales,16.5,67.2,Autumn
2023-05-27,Sydney,New South Wales,13.5,64.7,Autumn
2023-05-28,Sydney,New South Wales,13.5,65.7,Autumn
2023-05-29,Sydney,New South Wales,16.6,72.1,Autumn
2023-05-30,Sydney,New South Wales,12.9,74.0,Autumn
2023-05-31,Sydney,New South Wales,14.6,71.8,Autumn
2023-06-01,Sydney,New South Wales,13.6,75.6,Winter
2023-06-02,Sydney,New South Wales,15.2,76.7,Winter
2023-06-03,Sydney,New South Wales,16.5,75.3,Winter
2023-06-04,Sydney,New South Wales,16.8,68.8,Winter
2023-06-05,Sydney,New South Wales,16.6,72.9,Winter
2023-06-06,Sydney,New South Wales,12.5,64.9,Winter
2023-06-07,Sydney,New South Wales,9.7,66.5,Winter
2023-06-08,Sydney,New South Wales,12.5,72.7,Winter
2023-06-09,Sydney,New South Wales,11.1,70.7,Winter
2023-06-10,Sydney,New South Wales,11.8,68.4,Winter
2023-06-11,Sydney,New South Wales,10.7,69.8,Winter
2023-06-12,Sydney,New South Wales,12.7,71.2,Winter
2023-06-13,Sydney,New South Wales,14.2,80.7,Winter
2023-06-14,Sydney,New South Wales,15.9,76.8,Winter
2023-06-15,Sydney,New South Wales,13.9,80.8,Winter
2023-06-16,Sydney,New South Wales,13.9,72.8,Winter
2023-06-17,Sydney,New South Wales,8.8,66.9,Winter
2023-06-18,Sydney,New South Wales,10.6,65.7,Winter
2023-06-19,Sydney,New South Wales,10.7,67.6,Winter
2023-06-20,Sydney,New South Wales,14.8,68.1,Winter
2023-06-21,Sydney,New South Wales,12.4,73.3,Winter
2023-06-22,Sydney,New South Wales,10.9,77.4,Winter
2023-06-23,Sydney,New South Wales,9.6,72.5,Winter
2023-06-24,Sydney,New South Wales,9.1,71.9,Winter
2023-06-25,Sydney,New South Wales,12.4,68.2,Winter
2023-06-26,Sydney,New South Wales,15.9,80.1,Winter
2023-06-27,Sydney,New South Wales,15.1,72.7,Winter
2023-06-28,Sydney,New South Wales,13.0,82.0,Winter
2023-06-29,Sydney,New South Wales,17.3,75.3,Winter
2023-06-30,Sydney,New South Wales,19.4,72.9,Winter
2023-07-01,Sydney,New South Wales,16.1,74.9,Winter
2023-07-02,Sydney,New South Wales,11.4,63.9,Winter
2023-07-03,Sydney,New South Wales,11.7,56.1,Winter
2023-07-04,Sydney,New South Wales,13.6,72.4,Winter
2023-07-05,Sydney,New South Wales,12.8,67.2,Winter
2023-07-06,Sydney,New South Wales,11.2,68.1,Winter
2023-07-07,Sydney,New South Wales,10.7,72.4,Winter
2023-07-08,Sydney,New South Wales,10.9,73.4,Winter
2023-07-09,Sydney,New South Wales,5.9,60.5,Winter
2023-07-10,Sydney,New South Wales,7.6,86.2,Winter
2023-07-11,Sydney,New South Wales,6.3,80.9,Winter
2023-07-12,Sydney,New South Wales,9.2,76.0,Winter
2023-07-13,Sydney,New South Wales,9.1,70.9,Winter
2023-07-14,Sydney,New South Wales,10.5,64.8,Winter
2023-07-15,Sydney,New South Wales,10.3,68.1,Winter
2023-07-16,Sydney,New South Wales,12.1,70.7,Winter
2023-07-17,Sydney,New South Wales,10.4,70.3,Winter
2023-07-18,Sydney,New South Wales,10.9,57.5,Winter
2023-07-19,Sydney,New South Wales,14.5,70.2,Winter
2023-07-20,Sydney,New South Wales,15.0,72.4,Winter
2023-07-21,Sydney,New South Wales,13.9,63.1,Winter
2023-07-22,Sydney,New South Wales,13.8,65.3,Winter
2023-07-23,Sydney,New South Wales,15.2,63.9,Winter
2023-07-24,Sydney,New South Wales,16.7,58.9,Winter
2023-07-25,Sydney,New South Wales,16.7,67.8,Winter
2023-07-26,Sydney,New South Wales,17.2,73.1,Winter
2023-07-27,Sydney,New South Wales,15.7,72.1,Winter
2023-07-28,Sydney,New South Wales,15.4,80.4,Winter
2023-07-29,Sydney,New South Wales,13.8,67.6,Winter
2023-07-30,Sydney,New South Wales,14.9,73.4,Winter
2023-07-31,Sydney,New South Wales,11.9,59.1,Winter
2023-08-01,Sydney,New South Wales,16.0,60.2,Winter
2023-08-02,Sydney,New South Wales,14.1,62.2,Winter
2023-08-03,Sydney,New South Wales,12.3,57.0,Winter
2023-08-04,Sydney,New South Wales,14.3,60.0,Winter
2023-08-05,Sydney,New South Wales,14.3,54.9,Winter
2023-08-06,Sydney,New South Wales,13.3,65.8,Winter
2023-08-07,Sydney,New South Wales,10.7,61.3,Winter
2023-08-08,Sydney,New South Wales,11.3,66.8,Winter
2023-08-09,Sydney,New South Wales,12.2,58.7,Winter
2023-08-10,Sydney,New South Wales,15.0,59.9,Winter
2023-08-11,Sydney,New South Wales,11.3,63.0,Winter
2023-08-12,Sydney,New South Wales,11.4,65.7,Winter
2023-08-13,Sydney,New South Wales,11.8,65.2,Winter
2023-08-14,Sydney,New South Wales,9.1,60.6,Winter
2023-08-15,Sydney,New South Wales,11.2,58.9,Winter
2023-08-16,Sydney,New South Wales,14.0,53.9,Winter
2023-08-17,Sydney,New South Wales,14.5,60.8,Winter
2023-08-18,Sydney,New South Wales,13.2,65.0,Winter
2023-08-19,Sydney,New South Wales,13.0,61.2,Winter
2023-08-20,Sydney,New South Wales,16.1,72.2,Winter
2023-08-21,Sydney,New South Wales,13.6,61.8,Winter
2023-08-22,Sydney,New South Wales,11.6,56.2,Winter
2023-08-23,Sydney,New South Wales,13.5,63.1,Winter
2023-08-24,Sydney,New South Wales,15.0,57.8,Winter
2023-08-25,Sydney,New South Wales,16.4,63.2,Winter
2023-08-26,Sydney,New South Wales,13.6,59.7,Winter
2023-08-27,Sydney,New South Wales,17.6,65.6,Winter
2023-08-28,Sydney,New South Wales,18.7,62.5,Winter
2023-08-29,Sydney,New South Wales,14.6,70.2,Winter
2023-08-30,Sydney,New South Wales,15.6,66.2,Winter
2023-08-31,Sydney,New South Wales,15.6,65.3,Winter
2023-09-01,Sydney,New South Wales,18.7,52.6,Spring
2023-09-02,Sydney,New South Wales,21.7,68.6,Spring
2023-09-03,Sydney,New South Wales,18.7,63.4,Spring
2023-09-04,Sydney,New South Wales,14.8,63.2,Spring
2023-09-05,Sydney,New South Wales,16.1,69.7,Spring
2023-09-06,Sydney,New South Wales,16.3,61.8,Spring
2023-09-07,Sydney,New South Wales,15.7,63.2,Spring
2023-09-08,Sydney,New South Wales,15.4,66.5,Spring
2023-09-09,Sydney,New South Wales,16.4,64.4,Spring
2023-09-10,Sydney,New South Wales,16.8,74.5,Spring
2023-09-11,Sydney,New South Wales,14.4,69.1,Spring
2023-09-12,Sydney,New South Wales,12.3,82.3,Spring
2023-09-13,Sydney,New South Wales,12.7,63.0,Spring
2023-09-14,Sydney,New South Wales,14.4,66.4,Spring
2023-09-15,Sydney,New South Wales,12.9,73.1,Spring
2023-09-16,Sydney,New South Wales,13.7,66.0,Spring
2023-09-17,Sydney,New South Wales,18.7,58.5,Spring
2023-09-18,Sydney,New South Wales,20.9,73.6,Spring
2023-09-19,Sydney,New South Wales,20.9,60.4,Spring
2023-09-20,Sydney,New South Wales,24.4,71.2,Spring
2023-09-21,Sydney,New South Wales,21.2,63.5,Spring
2023-09-22,Sydney,New South Wales,21.9,67.2,Spring
2023-09-23,Sydney,New South Wales,19.1,62.0,Spring
2023-09-24,Sydney,New South Wales,21.1,67.5,Spring
2023-09-25,Sydney,New South Wales,15.2,79.0,Spring
2023-09-26,Sydney,New South Wales,16.4,61.8,Spring
2023-09-27,Sydney,New South Wales,16.4,67.7,Spring
2023-09-28,Sydney,New South Wales,14.9,63.3,Spring
2023-09-29,Sydney,New South Wales,17.4,69.0,Spring
2023-09-30,Sydney,New South Wales,16.0,65.0,Spring
2023-10-01,Sydney,New South Wales,20.1,63.5,Spring
2023-10-02,Sydney,New South Wales,24.0,71.7,Spring
2023-10-03,Sydney,New South Wales,20.9,62.6,Spring
2023-10-04,Sydney,New South Wales,18.6,66.0,Spring
2023-10-05,Sydney,New South Wales,19.2,65.1,Spring
2023-10-06,Sydney,New South Wales,19.4,66.1,Spring
2023-10-07,Sydney,New South Wales,16.8,77.3,Spring
2023-10-08,Sydney,New South Wales,16.3,66.6,Spring
2023-10-09,Sydney,New South Wales,14.4,69.0,Spring
2023-10-10,Sydney,New South Wales,14.9,64.7,Spring
2023-10-11,Sydney,New South Wales,17.8,63.5,Spring
2023-10-12,Sydney,New South Wales,20.6,69.3,Spring
2023-10-13,Sydney,New South Wales,21.9,67.3,Spring
2023-10-14,Sydney,New South Wales,24.1,62.2,Spring
2023-10-15,Sydney,New South Wales,24.6,55.6,Spring
2023-10-16,Sydney,New South Wales,26.0,70.2,Spring
2023-10-17,Sydney,New South Wales,21.9,66.1,Spring
2023-10-18,Sydney,New South Wales,22.6,67.1,Spring
2023-10-19,Sydney,New South Wales,20.8,63.7,Spring
2023-10-20,Sydney,New South Wales,21.9,63.0,Spring
2023-10-21,Sydney,New South Wales,21.4,68.4,Spring
2023-10-22,Sydney,New South Wales,19.1,62.2,Spring
2023-10-23,Sydney,New South Wales,14.3,59.0,Spring
2023-10-24,Sydney,New South Wales,11.1,66.8,Spring
2023-10-25,Sydney,New South Wales,16.0,60.1,Spring
2023-10-26,Sydney,New South Wales,15.7,50.8,Spring
2023-10-27,Sydney,New South Wales,17.5,60.3,Spring
2023-10-28,Sydney,New South Wales,16.6,64.6,Spring
2023-10-29,Sydney,New South Wales,15.9,66.4,Spring
2023-10-30,Sydney,New South Wales,17.0,63.7,Spring
2023-10-31,Sydney,New South Wales,19.3,64.2,Spring
2023-11-01,Sydney,New South Wales,18.0,74.0,Spring
2023-11-02,Sydney,New South Wales,20.2,68.9,Spring
2023-11-03,Sydney,New South Wales,18.2,62.5,Spring
2023-11-04,Sydney,New South Wales,19.0,70.6,Spring
2023-11-05,Sydney,New South Wales,16.3,80.3,Spring
2023-11-06,Sydney,New South Wales,16.2,70.1,Spring
2023-11-07,Sydney,New South Wales,17.9,76.7,Spring
2023-11-08,Sydney,New South Wales,17.2,61.7,Spring
2023-11-09,Sydney,New South Wales,17.0,58.2,Spring
2023-11-10,Sydney,New South Wales,21.3,72.8,Spring
2023-11-11,Sydney,New South Wales,20.9,63.7,Spring
2023-11-12,Sydney,New South Wales,23.6,74.2,Spring
2023-11-13,Sydney,New South Wales,20.9,71.1,Spring
2023-11-14,Sydney,New South Wales,21.1,61.5,Spring
2023-11-15,Sydney,New South Wales,20.9,67.8,Spring
2023-11-16,Sydney,New South Wales,22.9,69.9,Spring
2023-11-17,Sydney,New South Wales,19.1,63.0,Spring
2023-11-18,Sydney,New South Wales,19.9,59.0,Spring
2023-11-19,Sydney,New South Wales,22.3,62.4,Spring
2023-11-20,Sydney,New South Wales,19.9,65.2,Spring
2023-11-21,Sydney,New South Wales,17.9,61.7,Spring
2023-11-22,Sydney,New South Wales,22.7,69.5,Spring
2023-11-23,Sydney,New South Wales,23.5,63.2,Spring
2023-11-24,Sydney,New South Wales,21.1,59.4,Spring
2023-11-25,Sydney,New South Wales,20.1,71.4,Spring
2023-11-26,Sydney,New South Wales,23.0,57.9,Spring
2023-11-27,Sydney,New South Wales,17.5,72.3,Spring
2023-11-28,Sydney,New South Wales,16.9,69.4,Spring
2023-11-29,Sydney,New South Wales,19.3,73.9,Spring
2023-11-30,Sydney,New South Wales,19.2,67.9,Spring
2023-12-01,Sydney,New South Wales,19.3,62.6,Summer
2023-12-02,Sydney,New South Wales,19.6,58.6,Summer
2023-12-03,Sydney,New South Wales,16.4,65.7,Summer
2023-12-04,Sydney,New South Wales,20.1,70.9,Summer
2023-12-05,Sydney,New South Wales,24.2,65.3,Summer
2023-12-06,Sydney,New South Wales,23.9,73.8,Summer
2023-12-07,Sydney,New South Wales,25.6,63.4,Summer
2023-12-08,Sydney,New South Wales,24.6,68.5,Summer
2023-12-09,Sydney,New South Wales,22.4,66.7,Summer
2023-12-10,Sydney,New South Wales,21.2,62.6,Summer
2023-12-11,Sydney,New South Wales,21.6,65.7,Summer
2023-12-12,Sydney,New South Wales,23.5,70.2,Summer
2023-12-13,Sydney,New South Wales,23.6,69.3,Summer
2023-12-14,Sydney,New South Wales,21.7,71.2,Summer
2023-12-15,Sydney,New South Wales,26.3,62.1,Summer
2023-12-16,Sydney,New South Wales,25.2,76.7,Summer
2023-12-17,Sydney,New South Wales,27.6,72.2,Summer
2023-12-18,Sydney,New South Wales,30.3,66.7,Summer
2023-12-19,Sydney,New South Wales,26.4,74.6,Summer
2023-12-20,Sydney,New South Wales,26.2,68.7,Summer
2023-12-21,Sydney,New South Wales,22.3,71.4,Summer
2023-12-22,Sydney,New South Wales,24.6,58.3,Summer
2023-12-23,Sydney,New South Wales,25.4,67.3,Summer
2023-12-24,Sydney,New South Wales,26.2,72.8,Summer
2023-12-25,Sydney,New South Wales,22.9,75.0,Summer
2023-12-26,Sydney,New South Wales,21.3,71.2,Summer
2023-12-27,Sydney,New South Wales,21.4,71.5,Summer
2023-12-28,Sydney,New South Wales,21.2,60.7,Summer
2023-12-29,Sydney,New South Wales,19.9,74.0,Summer
2023-12-30,Sydney,New South Wales,18.1,58.5,Summer
2023-12-31,Sydney,New South Wales,17.9,66.8,Summer
2024-01-01,Sydney,New South Wales,24.5,62.3,Summer
2024-01-02,Sydney,New South Wales,22.3,72.9,Summer
2024-01-03,Sydney,New South Wales,24.0,65.2,Summer
2024-01-04,Sydney,New South Wales,24.4,73.3,Summer
2024-01-05,Sydney,New South Wales,22.8,65.7,Summer
2024-01-06,Sydney,New South Wales,24.0,65.6,Summer
2024-01-07,Sydney,New South Wales,21.3,65.2,Summer
2024-01-08,Sydney,New South Wales,21.0,72.5,Summer
2024-01-09,Sydney,New South Wales,21.8,72.0,Summer
2024-01-10,Sydney,New South Wales,26.5,81.1,Summer
2024-01-11,Sydney,New South Wales,25.3,70.8,Summer
2024-01-12,Sydney,New South Wales,27.0,63.1,Summer
2024-01-13,Sydney,New South Wales,26.7,81.3,Summer
2024-01-14,Sydney,New South Wales,26.0,62.6,Summer
2024-01-15,Sydney,New South Wales,21.5,63.4,Summer
2024-01-16,Sydney,New South Wales,22.0,65.4,Summer
2024-01-17,Sydney,New South Wales,21.0,65.1,Summer
2024-01-18,Sydney,New South Wales,20.3,73.2,Summer
2024-01-19,Sydney,New South Wales,18.1,63.0,Summer
2024-01-20,Sydney,New South Wales,18.4,70.7,Summer
2024-01-21,Sydney,New South Wales,21.3,65.1,Summer
2024-01-22,Sydney,New South Wales,19.7,70.9,Summer
2024-01-23,Sydney,New South Wales,21.0,68.2,Summer
2024-01-24,Sydney,New South Wales,22.2,73.8,Summer
2024-01-25,Sydney,New South Wales,22.1,67.3,Summer
2024-01-26,Sydney,New South Wales,21.1,71.5,Summer
2024-01-27,Sydney,New South Wales,20.6,74.8,Summer
2024-01-28,Sydney,New South Wales,21.1,67.3,Summer
2024-01-29,Sydney,New South Wales,19.3,63.4,Summer
2024-01-30,Sydney,New South Wales,20.2,69.9,Summer
2024-01-31,Sydney,New South Wales,21.8,68.3,Summer
2024-02-01,Sydney,New South Wales,23.5,63.6,Summer
2024-02-02,Sydney,New South Wales,23.5,80.7,Summer
2024-02-03,Sydney,New South Wales,26.0,83.1,Summer
2024-02-04,Sydney,New South Wales,28.4,77.4,Summer
2024-02-05,Sydney,New South Wales,26.7,74.6,Summer
2024-02-06,Sydney,New South Wales,25.1,79.5,Summer
2024-02-07,Sydney,New South Wales,24.7,64.7,Summer
2024-02-08,Sydney,New South Wales,25.7,76.1,Summer
2024-02-09,Sydney,New South Wales,24.4,68.7,Summer
2024-02-10,Sydney,New South Wales,25.6,84.2,Summer
2024-02-11,Sydney,New South Wales,19.9,76.7,Summer
2024-02-12,Sydney,New South Wales,21.0,72.9,Summer
2024-02-13,Sydney,New South Wales,21.1,69.3,Summer
2024-02-14,Sydney,New South Wales,24.1,75.2,Summer
2024-02-15,Sydney,New South Wales,25.5,71.7,Summer
2024-02-16,Sydney,New South Wales,27.1,62.5,Summer
2024-02-17,Sydney,New South Wales,28.5,63.2,Summer
2024-02-18,Sydney,New South Wales,28.2,71.4,Summer
2024-02-19,Sydney,New South Wales,27.7,79.2,Summer
2024-02-20,Sydney,New South Wales,25.5,65.2,Summer
2024-02-21,Sydney,New South Wales,23.6,70.7,Summer
2024-02-22,Sydney,New South Wales,22.5,65.5,Summer
2024-02-23,Sydney,New South Wales,22.7,72.8,Summer
2024-02-24,Sydney,New South Wales,20.9,78.0,Summer
2024-02-25,Sydney,New South Wales,23.6,72.3,Summer
2024-02-26,Sydney,New South Wales,22.3,74.8,Summer
2024-02-27,Sydney,New South Wales,23.2,66.2,Summer
2024-02-28,Sydney,New South Wales,21.1,69.5,Summer
2024-02-29,Sydney,New South Wales,22.2,66.3,Summer
2024-03-01,Sydney,New South Wales,22.3,76.6,Autumn
2024-03-02,Sydney,New South Wales,22.2,70.8,Autumn
2024-03-03,Sydney,New South Wales,24.2,76.2,Autumn
2024-03-04,Sydney,New South Wales,20.9,72.5,Autumn
2024-03-05,Sydney,New South Wales,20.8,75.5,Autumn
2024-03-06,Sydney,New South Wales,22.8,62.5,Autumn
2024-03-07,Sydney,New South Wales,26.8,57.6,Autumn
2024-03-08,Sydney,New South Wales,23.7,85.4,Autumn
2024-03-09,Sydney,New South Wales,23.9,81.3,Autumn
2024-03-10,Sydney,New South Wales,22.0,68.1,Autumn
2024-03-11,Sydney,New South Wales,22.8,62.8,Autumn
2024-03-12,Sydney,New South Wales,21.2,74.7,Autumn
2024-03-13,Sydney,New South Wales,20.1,75.8,Autumn
2024-03-14,Sydney,New South Wales,19.0,76.1,Autumn
2024-03-15,Sydney,New South Wales,22.2,63.4,Autumn
2024-03-16,Sydney,New South Wales,21.5,66.5,Autumn
2024-03-17,Sydney,New South Wales,21.5,64.3,Autumn
2024-03-18,Sydney,New South Wales,23.0,71.8,Autumn
2024-03-19,Sydney,New South Wales,21.5,70.5,Autumn
2024-03-20,Sydney,New South Wales,21.9,57.7,Autumn
2024-03-21,Sydney,New South Wales,20.2,63.2,Autumn
2024-03-22,Sydney,New South Wales,20.1,72.3,Autumn
2024-03-23,Sydney,New South Wales,23.8,70.5,Autumn
2024-03-24,Sydney,New South Wales,19.9,77.8,Autumn
2024-03-25,Sydney,New South Wales,19.3,72.6,Autumn
2024-03-26,Sydney,New South Wales,22.9,66.1,Autumn
2024-03-27,Sydney,New South Wales,19.9,73.5,Autumn
2024-03-28,Sydney,New South Wales,21.2,67.7,Autumn
2024-03-29,Sydney,New South Wales,17.8,67.3,Autumn
2024-03-30,Sydney,New South Wales,22.0,68.0,Autumn
2024-03-31,Sydney,New South Wales,21.0,65.4,Autumn
2024-04-01,Sydney,New South Wales,20.3,62.9,Autumn
2024-04-02,Sydney,New South Wales,18.0,76.0,Autumn
2024-04-03,Sydney,New South Wales,14.5,70.7,Autumn
2024-04-04,Sydney,New South Wales,16.7,77.8,Autumn
2024-04-05,Sydney,New South Wales,15.9,64.8,Autumn
